regions_yandex,season,time_mean,mean_time_short,year
мурманская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
мурманская область,winter,2023-05-20 07:33:38.087504640,07:33,2024
ненецкий автономный округ,autumn,2023-05-20 10:31:31.371326208,10:31,2024
ненецкий автономный округ,spring,2023-05-20 14:13:41.046236416,14:13,2024
ненецкий автономный округ,summer,2023-05-20 16:30:05.578494720,16:30,2024
ненецкий автономный округ,winter,2023-05-20 08:14:24.340378368,08:14,2024
нижегородская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
нижегородская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
нижегородская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
нижегородская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
новгородская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
новгородская область,spring,2023-05-20 14:18:56.035125504,14:18,2024
новгородская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
новгородская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
новосибирская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
новосибирская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
новосибирская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
новосибирская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
омская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
омская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
омская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
омская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
оренбургская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
оренбургская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
оренбургская область,summer,2023-05-20 16:12:51.878494464,16:12,2024
оренбургская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
орловская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
орловская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
орловская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
орловская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
пензенская область,autumn,2023-05-20 10:38:46.515770624,10:38,2024
пензенская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
пензенская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
пензенская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
пермский край,autumn,2023-05-20 10:31:31.371326208,10:31,2024
пермский край,spring,2023-05-20 14:13:41.046236416,14:13,2024
пермский край,summer,2023-05-20 16:30:05.578494720,16:30,2024
пермский край,winter,2023-05-20 08:14:24.340378368,08:14,2024
приморский край,autumn,2023-05-20 10:31:31.371326208,10:31,2024
приморский край,spring,2023-05-20 14:13:41.046236416,14:13,2024
приморский край,summer,2023-05-20 16:30:05.578494720,16:30,2024
приморский край,winter,2023-05-20 08:52:33.673711616,08:52,2024
псковская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
псковская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
псковская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
псковская область,winter,2023-05-20 08:10:22.604745728,08:10,2024
республика адыгея,autumn,2023-05-20 10:31:31.371326208,10:31,2024
республика адыгея,spring,2023-05-20 14:13:41.046236416,14:13,2024
республика адыгея,summer,2023-05-20 16:30:05.578494720,16:30,2024
республика адыгея,winter,2023-05-20 08:14:24.340378368,08:14,2024
республика алтай,autumn,2023-05-20 10:36:00.511111168,10:36,2024
республика алтай,spring,2023-05-20 14:13:41.046236416,14:13,2024
республика алтай,summer,2023-05-20 16:30:05.578494720,16:30,2024
республика алтай,winter,2023-05-20 08:14:24.340378368,08:14,2024
республика башкортостан,autumn,2023-05-20 10:31:31.371326208,10:31,2024
республика башкортостан,spring,2023-05-20 14:13:41.046236416,14:13,2024
республика башкортостан,summer,2023-05-20 16:30:05.578494720,16:30,2024
республика башкортостан,winter,2023-05-20 08:17:51.974786816,08:17,2024
республика бурятия,autumn,2023-05-20 10:31:31.371326208,10:31,2024
республика бурятия,spring,2023-05-20 14:00:45.024731136,14:00,2024
республика бурятия,summer,2023-05-20 16:30:05.578494720,16:30,2024
республика бурятия,winter,2023-05-20 08:14:24.340378368,08:14,2024
республика дагестан,autumn,2023-05-20 10:31:31.371326208,10:31,2024
республика дагестан,spring,2023-05-20 13:40:14.712902912,13:40,2024
республика дагестан,summer,2023-05-20 15:52:02.449462272,15:52,2024
республика дагестан,winter,2023-05-20 08:32:16.535780352,08:32,2024
республика ингушетия,autumn,2023-05-20 10:31:31.371326208,10:31,2024
республика ингушетия,spring,2023-05-20 13:57:24.857347840,13:57,2024
республика ингушетия,summer,2023-05-20 16:30:05.578494720,16:30,2024
республика ингушетия,winter,2023-05-20 08:47:00.684464128,08:47,2024
республика калмыкия,autumn,2023-05-20 10:27:39.471326208,10:27,2024
республика калмыкия,spring,2023-05-20 14:13:41.046236416,14:13,2024
республика калмыкия,summer,2023-05-20 16:30:05.578494720,16:30,2024
республика калмыкия,winter,2023-05-20 08:14:24.340378368,08:14,2024
республика карелия,autumn,2023-05-20 10:12:20.204659456,10:12,2024
республика карелия,spring,2023-05-20 14:13:41.046236416,14:13,2024
республика карелия,summer,2023-05-20 17:11:23.167383552,17:11,2024
республика карелия,winter,2023-05-20 08:14:24.340378368,08:14,2024
республика коми,autumn,2023-05-20 10:31:31.371326208,10:31,2024
республика коми,spring,2023-05-20 14:13:41.046236416,14:13,2024
республика коми,summer,2023-05-20 16:30:05.578494720,16:30,2024
республика коми,winter,2023-05-20 08:14:24.340378368,08:14,2024
республика крым,autumn,2023-05-20 10:27:11.693548288,10:27,2024
республика крым,spring,2023-05-20 13:44:13.067741952,13:44,2024
республика крым,summer,2023-05-20 15:51:28.689605888,15:51,2024
республика крым,winter,2023-05-20 08:14:24.340378368,08:14,2024
республика марий эл,autumn,2023-05-20 10:31:31.371326208,10:31,2024
республика марий эл,spring,2023-05-20 14:13:41.046236416,14:13,2024
