city,year,month,time_mean
биробиджан,2024,Январь,2023-05-20 07:49:02.064515840
биробиджан,2024,Февраль,2023-05-20 09:41:53.827586304
биробиджан,2024,Март,2023-05-20 11:58:22.806451968
биробиджан,2024,Апрель,2023-05-20 14:18:32.299999744
биробиджан,2024,Май,2023-05-20 16:24:08.032258048
биробиджан,2024,Июнь,2023-05-20 17:32:28.799999744
биробиджан,2024,Июль,2023-05-20 16:55:57.387096832
биробиджан,2024,Август,2023-05-20 15:01:50.548387072
биробиджан,2024,Сентябрь,2023-05-20 12:45:50.400000256
биробиджан,2024,Октябрь,2023-05-20 10:50:25.387096576
биробиджан,2024,Ноябрь,2023-05-20 08:21:22.133333248
биробиджан,2024,Декабрь,2023-05-20 07:12:17.129032192
чита,2024,Январь,2023-05-20 07:49:02.064515840
чита,2024,Февраль,2023-05-20 09:41:53.827586304
чита,2024,Март,2023-05-20 11:58:22.806451968
чита,2024,Апрель,2023-05-20 14:18:32.299999744
чита,2024,Май,2023-05-20 16:24:08.032258048
чита,2024,Июнь,2023-05-20 16:43:39.866666496
чита,2024,Июль,2023-05-20 16:55:57.387096832
чита,2024,Август,2023-05-20 15:01:50.548387072
чита,2024,Сентябрь,2023-05-20 12:45:50.400000256
чита,2024,Октябрь,2023-05-20 10:27:21.580645376
чита,2024,Ноябрь,2023-05-20 08:21:22.133333248
чита,2024,Декабрь,2023-05-20 07:12:17.129032192
иваново,2024,Январь,2023-05-20 07:49:02.064515840
иваново,2024,Февраль,2023-05-20 09:41:53.827586304
иваново,2024,Март,2023-05-20 11:58:22.806451968
иваново,2024,Апрель,2023-05-20 14:18:32.299999744
иваново,2024,Май,2023-05-20 16:24:08.032258048
иваново,2024,Июнь,2023-05-20 17:32:28.799999744
иваново,2024,Июль,2023-05-20 16:55:57.387096832
иваново,2024,Август,2023-05-20 15:01:50.548387072
иваново,2024,Сентябрь,2023-05-20 12:45:50.400000256
иваново,2024,Октябрь,2023-05-20 10:27:21.580645376
иваново,2024,Ноябрь,2023-05-20 08:21:22.133333248
иваново,2024,Декабрь,2023-05-20 07:12:17.129032192
иркутск,2024,Январь,2023-05-20 07:49:02.064515840
иркутск,2024,Февраль,2023-05-20 09:41:53.827586304
иркутск,2024,Март,2023-05-20 11:58:22.806451968
иркутск,2024,Апрель,2023-05-20 14:18:32.299999744
иркутск,2024,Май,2023-05-20 16:24:08.032258048
иркутск,2024,Июнь,2023-05-20 17:32:28.799999744
иркутск,2024,Июль,2023-05-20 16:55:57.387096832
иркутск,2024,Август,2023-05-20 15:01:50.548387072
иркутск,2024,Сентябрь,2023-05-20 12:45:50.400000256
иркутск,2024,Октябрь,2023-05-20 10:27:21.580645376
иркутск,2024,Ноябрь,2023-05-20 08:21:22.133333248
иркутск,2024,Декабрь,2023-05-20 07:12:17.129032192
нальчик,2024,Январь,2023-05-20 07:49:02.064515840
нальчик,2024,Февраль,2023-05-20 09:41:53.827586304
нальчик,2024,Март,2023-05-20 11:58:22.806451968
нальчик,2024,Апрель,2023-05-20 13:30:33.333334016
нальчик,2024,Май,2023-05-20 16:24:08.032258048
нальчик,2024,Июнь,2023-05-20 17:32:28.799999744
нальчик,2024,Июль,2023-05-20 16:55:57.387096832
нальчик,2024,Август,2023-05-20 13:57:35.000000256
нальчик,2024,Сентябрь,2023-05-20 12:45:50.400000256
нальчик,2024,Октябрь,2023-05-20 10:27:21.580645376
нальчик,2024,Ноябрь,2023-05-20 08:21:22.133333248
нальчик,2024,Декабрь,2023-05-20 07:12:17.129032192
калининград,2024,Январь,2023-05-20 07:49:02.064515840
калининград,2024,Февраль,2023-05-20 09:41:53.827586304
калининград,2024,Март,2023-05-20 11:58:22.806451968
калининград,2024,Апрель,2023-05-20 14:18:32.299999744
калининград,2024,Май,2023-05-20 16:24:08.032258048
калининград,2024,Июнь,2023-05-20 17:32:28.799999744
калининград,2024,Июль,2023-05-20 16:55:57.387096832
калининград,2024,Август,2023-05-20 15:01:50.548387072
калининград,2024,Сентябрь,2023-05-20 12:45:50.400000256
калининград,2024,Октябрь,2023-05-20 10:27:21.580645376
калининград,2024,Ноябрь,2023-05-20 08:21:22.133333248
калининград,2024,Декабрь,2023-05-20 07:12:17.129032192
калуга,2024,Январь,2023-05-20 07:49:02.064515840
калуга,2024,Февраль,2023-05-20 09:41:53.827586304
калуга,2024,Март,2023-05-20 11:58:22.806451968
калуга,2024,Апрель,2023-05-20 14:18:32.299999744
калуга,2024,Май,2023-05-20 16:24:08.032258048
калуга,2024,Июнь,2023-05-20 17:32:28.799999744
калуга,2024,Июль,2023-05-20 16:40:59.741935616
калуга,2024,Август,2023-05-20 15:01:50.548387072
калуга,2024,Сентябрь,2023-05-20 12:45:50.400000256
калуга,2024,Октябрь,2023-05-20 10:27:21.580645376
калуга,2024,Ноябрь,2023-05-20 08:21:22.133333248
калуга,2024,Декабрь,2023-05-20 07:12:17.129032192
петропавловск-камчатский,2024,Январь,2023-05-20 07:49:02.064515840
петропавловск-камчатский,2024,Февраль,2023-05-20 09:41:53.827586304
петропавловск-камчатский,2024,Март,2023-05-20 11:58:22.806451968
петропавловск-камчатский,2024,Апрель,2023-05-20 14:18:32.299999744
петропавловск-камчатский,2024,Май,2023-05-20 16:24:08.032258048
петропавловск-камчатский,2024,Июнь,2023-05-20 17:32:28.799999744
петропавловск-камчатский,2024,Июль,2023-05-20 16:55:57.387096832
петропавловск-камчатский,2024,Август,2023-05-20 15:01:50.548387072
петропавловск-камчатский,2024,Сентябрь,2023-05-20 12:45:50.400000256
петропавловск-камчатский,2024,Октябрь,2023-05-20 10:27:21.580645376
петропавловск-камчатский,2024,Ноябрь,2023-05-20 08:21:22.133333248
петропавловск-камчатский,2024,Декабрь,2023-05-20 07:12:17.129032192
черкесск,2024,Январь,2023-05-20 07:49:02.064515840
черкесск,2024,Февраль,2023-05-20 09:41:53.827586304
черкесск,2024,Март,2023-05-20 11:58:22.806451968
черкесск,2024,Апрель,2023-05-20 14:18:32.299999744
черкесск,2024,Май,2023-05-20 16:24:08.032258048
черкесск,2024,Июнь,2023-05-20 17:32:28.799999744
черкесск,2024,Июль,2023-05-20 16:55:57.387096832
черкесск,2024,Август,2023-05-20 15:01:50.548387072
черкесск,2024,Сентябрь,2023-05-20 12:45:50.400000256
черкесск,2024,Октябрь,2023-05-20 10:27:21.580645376
черкесск,2024,Ноябрь,2023-05-20 08:21:22.133333248
черкесск,2024,Декабрь,2023-05-20 07:12:17.129032192
кемерово,2024,Январь,2023-05-20 07:49:02.064515840
кемерово,2024,Февраль,2023-05-20 09:41:53.827586304
кемерово,2024,Март,2023-05-20 11:58:22.806451968
кемерово,2024,Апрель,2023-05-20 14:18:32.299999744
кемерово,2024,Май,2023-05-20 16:24:08.032258048
кемерово,2024,Июнь,2023-05-20 17:32:28.799999744
кемерово,2024,Июль,2023-05-20 16:55:57.387096832
кемерово,2024,Август,2023-05-20 15:01:50.548387072
кемерово,2024,Сентябрь,2023-05-20 12:45:50.400000256
кемерово,2024,Октябрь,2023-05-20 10:27:21.580645376
кемерово,2024,Ноябрь,2023-05-20 08:21:22.133333248
кемерово,2024,Декабрь,2023-05-20 07:12:17.129032192
киров,2024,Январь,2023-05-20 07:49:02.064515840
киров,2024,Февраль,2023-05-20 09:41:53.827586304
киров,2024,Март,2023-05-20 11:58:22.806451968
киров,2024,Апрель,2023-05-20 14:18:32.299999744
киров,2024,Май,2023-05-20 16:24:08.032258048
киров,2024,Июнь,2023-05-20 17:32:28.799999744
киров,2024,Июль,2023-05-20 16:55:57.387096832
киров,2024,Август,2023-05-20 15:01:50.548387072
киров,2024,Сентябрь,2023-05-20 12:45:50.400000256
киров,2024,Октябрь,2023-05-20 10:27:21.580645376
киров,2024,Ноябрь,2023-05-20 08:21:22.133333248
киров,2024,Декабрь,2023-05-20 07:12:17.129032192
кострома,2024,Январь,2023-05-20 07:49:02.064515840
кострома,2024,Февраль,2023-05-20 09:41:53.827586304
кострома,2024,Март,2023-05-20 11:58:22.806451968
кострома,2024,Апрель,2023-05-20 14:29:37.133333248
кострома,2024,Май,2023-05-20 16:24:08.032258048
кострома,2024,Июнь,2023-05-20 17:32:28.799999744
кострома,2024,Июль,2023-05-20 16:55:57.387096832
кострома,2024,Август,2023-05-20 15:01:50.548387072
кострома,2024,Сентябрь,2023-05-20 12:45:50.400000256
кострома,2024,Октябрь,2023-05-20 10:19:25.709677312
кострома,2024,Ноябрь,2023-05-20 08:21:22.133333248
кострома,2024,Декабрь,2023-05-20 07:12:17.129032192
краснодар,2024,Январь,2023-05-20 07:49:02.064515840
краснодар,2024,Февраль,2023-05-20 10:28:38.758620416
краснодар,2024,Март,2023-05-20 11:58:22.806451968
краснодар,2024,Апрель,2023-05-20 14:18:32.299999744
краснодар,2024,Май,2023-05-20 16:24:08.032258048
краснодар,2024,Июнь,2023-05-20 17:32:28.799999744
краснодар,2024,Июль,2023-05-20 16:55:57.387096832
краснодар,2024,Август,2023-05-20 15:01:50.548387072
краснодар,2024,Сентябрь,2023-05-20 12:45:50.400000256
краснодар,2024,Октябрь,2023-05-20 10:27:21.580645376
краснодар,2024,Ноябрь,2023-05-20 08:21:22.133333248
краснодар,2024,Декабрь,2023-05-20 07:12:17.129032192
красноярск,2024,Январь,2023-05-20 07:45:42.161290496
красноярск,2024,Февраль,2023-05-20 09:41:53.827586304
красноярск,2024,Март,2023-05-20 11:57:35.645161472
красноярск,2024,Апрель,2023-05-20 14:18:32.299999744
красноярск,2024,Май,2023-05-20 16:24:08.032258048
красноярск,2024,Июнь,2023-05-20 17:32:28.799999744
красноярск,2024,Июль,2023-05-20 16:55:57.387096832
красноярск,2024,Август,2023-05-20 15:04:23.741935872
красноярск,2024,Сентябрь,2023-05-20 12:45:50.400000256
красноярск,2024,Октябрь,2023-05-20 10:27:21.580645376
красноярск,2024,Ноябрь,2023-05-20 08:21:22.133333248
красноярск,2024,Декабрь,2023-05-20 07:12:17.129032192
курган,2024,Январь,2023-05-20 07:49:02.064515840
курган,2024,Февраль,2023-05-20 09:41:53.827586304
курган,2024,Март,2023-05-20 11:58:22.806451968
курган,2024,Апрель,2023-05-20 14:16:37.933333248
курган,2024,Май,2023-05-20 16:24:08.032258048
курган,2024,Июнь,2023-05-20 17:32:28.799999744
курган,2024,Июль,2023-05-20 16:55:57.387096832
курган,2024,Август,2023-05-20 15:01:50.548387072
курган,2024,Сентябрь,2023-05-20 12:45:50.400000256
курган,2024,Октябрь,2023-05-20 10:27:21.580645376
курган,2024,Ноябрь,2023-05-20 08:21:22.133333248
курган,2024,Декабрь,2023-05-20 07:12:17.129032192
курск,2024,Январь,2023-05-20 07:49:02.064515840
курск,2024,Февраль,2023-05-20 09:41:53.827586304
курск,2024,Март,2023-05-20 11:58:22.806451968
курск,2024,Апрель,2023-05-20 13:59:45.333333248
курск,2024,Май,2023-05-20 16:24:08.032258048
курск,2024,Июнь,2023-05-20 17:32:28.799999744
курск,2024,Июль,2023-05-20 16:55:57.387096832
курск,2024,Август,2023-05-20 15:01:50.548387072
курск,2024,Сентябрь,2023-05-20 12:45:50.400000256
курск,2024,Октябрь,2023-05-20 10:27:21.580645376
курск,2024,Ноябрь,2023-05-20 08:21:22.133333248
курск,2024,Декабрь,2023-05-20 07:12:17.129032192
гатчина,2024,Январь,2023-05-20 07:49:02.064515840
гатчина,2024,Февраль,2023-05-20 09:41:53.827586304
гатчина,2024,Март,2023-05-20 11:58:22.806451968
гатчина,2024,Апрель,2023-05-20 14:18:32.299999744
гатчина,2024,Май,2023-05-20 16:24:08.032258048
гатчина,2024,Июнь,2023-05-20 17:32:28.799999744
гатчина,2024,Июль,2023-05-20 16:55:57.387096832
гатчина,2024,Август,2023-05-20 15:01:50.548387072
гатчина,2024,Сентябрь,2023-05-20 12:45:50.400000256
гатчина,2024,Октябрь,2023-05-20 10:27:21.580645376
гатчина,2024,Ноябрь,2023-05-20 08:21:22.133333248
гатчина,2024,Декабрь,2023-05-20 07:12:17.129032192
липецк,2024,Январь,2023-05-20 07:49:02.064515840
липецк,2024,Февраль,2023-05-20 09:41:53.827586304
липецк,2024,Март,2023-05-20 11:58:22.806451968
липецк,2024,Апрель,2023-05-20 14:18:32.299999744
липецк,2024,Май,2023-05-20 16:24:08.032258048
липецк,2024,Июнь,2023-05-20 17:32:28.799999744
липецк,2024,Июль,2023-05-20 16:55:57.387096832
липецк,2024,Август,2023-05-20 15:01:50.548387072
липецк,2024,Сентябрь,2023-05-20 12:45:50.400000256
липецк,2024,Октябрь,2023-05-20 10:27:21.580645376
липецк,2024,Ноябрь,2023-05-20 08:21:22.133333248
липецк,2024,Декабрь,2023-05-20 07:12:17.129032192
магадан,2024,Январь,2023-05-20 07:49:02.064515840
магадан,2024,Февраль,2023-05-20 09:16:26.620689664
магадан,2024,Март,2023-05-20 11:58:22.806451968
магадан,2024,Апрель,2023-05-20 14:18:32.299999744
магадан,2024,Май,2023-05-20 16:24:08.032258048
магадан,2024,Июнь,2023-05-20 18:40:25.866666496
магадан,2024,Июль,2023-05-20 16:55:57.387096832
магадан,2024,Август,2023-05-20 15:01:50.548387072
магадан,2024,Сентябрь,2023-05-20 12:45:50.400000256
магадан,2024,Октябрь,2023-05-20 10:27:21.580645376
магадан,2024,Ноябрь,2023-05-20 08:21:22.133333248
магадан,2024,Декабрь,2023-05-20 07:12:17.129032192
москва,2024,Январь,2023-05-20 07:49:02.064515840
москва,2024,Февраль,2023-05-20 09:41:53.827586304
москва,2024,Март,2023-05-20 11:58:22.806451968
москва,2024,Апрель,2023-05-20 14:18:32.299999744
москва,2024,Май,2023-05-20 16:24:08.032258048
москва,2024,Июнь,2023-05-20 17:32:28.799999744
москва,2024,Июль,2023-05-20 16:55:57.387096832
москва,2024,Август,2023-05-20 15:01:50.548387072
москва,2024,Сентябрь,2023-05-20 12:45:50.400000256
москва,2024,Октябрь,2023-05-20 10:27:21.580645376
москва,2024,Ноябрь,2023-05-20 08:21:22.133333248
москва,2024,Декабрь,2023-05-20 07:12:17.129032192
москва,2024,Январь,2023-05-20 07:49:02.064515840
москва,2024,Февраль,2023-05-20 09:41:53.827586304
москва,2024,Март,2023-05-20 11:58:22.806451968
москва,2024,Апрель,2023-05-20 14:18:32.299999744
москва,2024,Май,2023-05-20 16:24:08.032258048
москва,2024,Июнь,2023-05-20 17:32:28.799999744
москва,2024,Июль,2023-05-20 16:55:57.387096832
москва,2024,Август,2023-05-20 15:01:50.548387072
москва,2024,Сентябрь,2023-05-20 12:45:50.400000256
москва,2024,Октябрь,2023-05-20 10:27:21.580645376
москва,2024,Ноябрь,2023-05-20 08:21:22.133333248
москва,2024,Декабрь,2023-05-20 07:12:17.129032192
мурманск,2024,Январь,2023-05-20 07:49:02.064515840
мурманск,2024,Февраль,2023-05-20 07:39:35.068965888
мурманск,2024,Март,2023-05-20 11:53:58.935483648
мурманск,2024,Апрель,2023-05-20 16:14:03.133333248
мурманск,2024,Май,2023-05-20 16:24:08.032258048
мурманск,2024,Июнь,2023-05-20 17:32:28.799999744
мурманск,2024,Июль,2023-05-20 16:55:57.387096832
мурманск,2024,Август,2023-05-20 15:01:50.548387072
мурманск,2024,Сентябрь,2023-05-20 13:18:49.866667008
мурманск,2024,Октябрь,2023-05-20 10:27:21.580645376
мурманск,2024,Ноябрь,2023-05-20 08:21:22.133333248
мурманск,2024,Декабрь,2023-05-20 07:12:17.129032192
нарьян-мар,2024,Январь,2023-05-20 07:49:02.064515840
нарьян-мар,2024,Февраль,2023-05-20 09:41:53.827586304
нарьян-мар,2024,Март,2023-05-20 11:58:22.806451968
нарьян-мар,2024,Апрель,2023-05-20 14:18:32.299999744
нарьян-мар,2024,Май,2023-05-20 16:24:08.032258048
нарьян-мар,2024,Июнь,2023-05-20 17:32:28.799999744
нарьян-мар,2024,Июль,2023-05-20 16:55:57.387096832
нарьян-мар,2024,Август,2023-05-20 15:01:50.548387072
нарьян-мар,2024,Сентябрь,2023-05-20 12:45:50.400000256
нарьян-мар,2024,Октябрь,2023-05-20 10:27:21.580645376
нарьян-мар,2024,Ноябрь,2023-05-20 08:21:22.133333248
нарьян-мар,2024,Декабрь,2023-05-20 07:12:17.129032192
нижний новгород,2024,Январь,2023-05-20 07:49:02.064515840
нижний новгород,2024,Февраль,2023-05-20 09:41:53.827586304
нижний новгород,2024,Март,2023-05-20 11:58:22.806451968
нижний новгород,2024,Апрель,2023-05-20 14:18:32.299999744
нижний новгород,2024,Май,2023-05-20 16:24:08.032258048
нижний новгород,2024,Июнь,2023-05-20 17:32:28.799999744
нижний новгород,2024,Июль,2023-05-20 16:55:57.387096832
нижний новгород,2024,Август,2023-05-20 15:01:50.548387072
нижний новгород,2024,Сентябрь,2023-05-20 12:45:50.400000256
нижний новгород,2024,Октябрь,2023-05-20 10:27:21.580645376
нижний новгород,2024,Ноябрь,2023-05-20 08:21:22.133333248
нижний новгород,2024,Декабрь,2023-05-20 07:12:17.129032192
великий новгород,2024,Январь,2023-05-20 07:49:02.064515840
великий новгород,2024,Февраль,2023-05-20 09:41:53.827586304
великий новгород,2024,Март,2023-05-20 11:58:22.806451968
великий новгород,2024,Апрель,2023-05-20 14:34:17.266666496
великий новгород,2024,Май,2023-05-20 16:24:08.032258048
великий новгород,2024,Июнь,2023-05-20 17:32:28.799999744
великий новгород,2024,Июль,2023-05-20 16:55:57.387096832
великий новгород,2024,Август,2023-05-20 15:01:50.548387072
великий новгород,2024,Сентябрь,2023-05-20 12:45:50.400000256
великий новгород,2024,Октябрь,2023-05-20 10:27:21.580645376
великий новгород,2024,Ноябрь,2023-05-20 08:21:22.133333248
великий новгород,2024,Декабрь,2023-05-20 07:12:17.129032192
новосибирск,2024,Январь,2023-05-20 07:49:02.064515840
новосибирск,2024,Февраль,2023-05-20 09:41:53.827586304
новосибирск,2024,Март,2023-05-20 11:58:22.806451968
новосибирск,2024,Апрель,2023-05-20 14:18:32.299999744
новосибирск,2024,Май,2023-05-20 16:24:08.032258048
новосибирск,2024,Июнь,2023-05-20 17:32:28.799999744
новосибирск,2024,Июль,2023-05-20 16:55:57.387096832
новосибирск,2024,Август,2023-05-20 15:01:50.548387072
новосибирск,2024,Сентябрь,2023-05-20 12:45:50.400000256
новосибирск,2024,Октябрь,2023-05-20 10:27:21.580645376
новосибирск,2024,Ноябрь,2023-05-20 08:21:22.133333248
новосибирск,2024,Декабрь,2023-05-20 07:12:17.129032192
омск,2024,Январь,2023-05-20 07:49:02.064515840
омск,2024,Февраль,2023-05-20 09:41:53.827586304
омск,2024,Март,2023-05-20 11:58:22.806451968
омск,2024,Апрель,2023-05-20 14:18:32.299999744
омск,2024,Май,2023-05-20 16:24:08.032258048
омск,2024,Июнь,2023-05-20 17:32:28.799999744
омск,2024,Июль,2023-05-20 16:55:57.387096832
омск,2024,Август,2023-05-20 15:01:50.548387072
омск,2024,Сентябрь,2023-05-20 12:45:50.400000256
омск,2024,Октябрь,2023-05-20 10:27:21.580645376
омск,2024,Ноябрь,2023-05-20 08:21:22.133333248
омск,2024,Декабрь,2023-05-20 07:12:17.129032192
оренбург,2024,Январь,2023-05-20 07:49:02.064515840
оренбург,2024,Февраль,2023-05-20 09:41:53.827586304
оренбург,2024,Март,2023-05-20 11:58:22.806451968
оренбург,2024,Апрель,2023-05-20 14:18:32.299999744
оренбург,2024,Май,2023-05-20 16:24:08.032258048
оренбург,2024,Июнь,2023-05-20 16:40:47.700000000
оренбург,2024,Июль,2023-05-20 16:55:57.387096832
оренбург,2024,Август,2023-05-20 15:01:50.548387072
оренбург,2024,Сентябрь,2023-05-20 12:45:50.400000256
оренбург,2024,Октябрь,2023-05-20 10:27:21.580645376
оренбург,2024,Ноябрь,2023-05-20 08:21:22.133333248
оренбург,2024,Декабрь,2023-05-20 07:12:17.129032192
орёл,2024,Январь,2023-05-20 07:49:02.064515840
орёл,2024,Февраль,2023-05-20 09:41:53.827586304
орёл,2024,Март,2023-05-20 11:58:22.806451968
